cotacao
3.7065
3.9229
3.8377
3.8094
3.7419
3.7660
3.7352
3.7379
3.7271
3.6676
3.6474
3.6238
3.6440
3.6883
3.7389
3.6996
3.6777
3.6602
3.6274
3.5999
3.5461
3.5940
3.5682
3.5521
3.5227
3.5290
3.5478
3.5029
3.4614
3.4760
3.4840
3.4685
3.4520
3.4108
3.3908
3.3794
3.4073
3.4114
3.4254
3.4066
3.3852
3.4106
3.4208
3.3674
3.3413
3.3401
3.3374
3.3116
3.2994
3.3300
3.3299
3.3025
3.3170
3.3089
3.2676
3.3069
3.2825
3.2781
3.2898
3.2602
3.2612
3.2555
3.2505
3.2615
3.2429
3.2097
3.2474
3.2493
3.2541
3.2421
3.2475
3.2319
3.2405
3.2479
3.2605
3.2546
3.2330
3.2204
3.2346
3.2261
3.3017
3.2803
3.2757
3.2446
3.2455
3.2137
3.1683
3.1793
3.1787
3.1650
3.1394
3.1470
3.1581
3.2374
3.2085
3.2006
3.2089
3.2157
3.2282
3.2096
