velocidade
1.42
2.7
5.67
5.83
5.74
1.56
2.32
2.14
0.63
2.99
1.03
2.12
6.01
5.84
5.91
5.8
5.54
5.99
2.9
2.9
5.92
5.96
5.73
4.92
6.18
4.38
6.29
3.38
3.78
6.04
3.9
5.57
1.47
3.21
2.32
4.57
0.98
5.43
1.11
3.68
